Drug 1,Drug 2,E. coli BW25113,E. coli iAi1,ST LT2,ST 14028,PAO1,PA14,p-value E. coli BW25113,p-value E. coli iAi1,p-value ST LT2,p-value ST 14028,p-value PAO1,p-value PA14,interaction E. coli BW25113,interaction E. coli iAi1,interaction ST LT2,interaction ST14028,interaction PAO1,interaction PA14
Polymyxin B,Fusidic acid,-0.84618816,-0.419834209,-0.323699977,-0.345909299,NA,NA,0.001666307,0.001463305,0.01832232,NA,NA,NA,Synergy,Synergy,Synergy,NA,NA,NA
Amikacin,Puromycin,-0.421167552,-0.26455189,-0.288674614,-0.099679067,NA,NA,0.001666307,0.001463305,0.010482588,NA,NA,NA,Synergy,Synergy,Synergy,NA,NA,NA
Cefotaxime,Mecillinam,-0.15648401,-0.247296866,-0.575637347,-0.221040643,NA,NA,0.002956627,0.024022598,0.017308999,0.002167452,NA,NA,Synergy,Synergy,Synergy,Synergy,NA,NA
Cefotaxime,Meropenem,-0.192565341,-0.199999654,-0.14933459,-0.409722858,NA,NA,0.016255893,NA,NA,0.009748301,NA,NA,Synergy,NA,NA,Synergy,NA,NA
Cefaclor,Mecillinam,-0.20308159,-0.367267953,-0.614446299,-0.510073655,NA,NA,0.001666307,0.001813026,0.022355724,0.002167452,NA,NA,Synergy,Synergy,Synergy,Synergy,NA,NA
Cefaclor,A22,-0.160561269,-0.110830537,-0.25570745,-0.260404099,NA,NA,0.004098642,NA,NA,0.002167452,NA,NA,Synergy,NA,NA,Synergy,NA,NA
Cefaclor,Aztreonam,-0.601241705,-0.540875146,-0.581642781,-0.457219817,NA,NA,0.001666307,0.001463305,0.001858524,0.013345888,NA,NA,Synergy,Synergy,Synergy,Synergy,NA,NA
Cefsulodin,Trimethoprim,-0.240227564,-0.156692048,-0.169141111,-0.101388817,NA,NA,0.001666307,0.001463305,0.001768535,0.011087353,NA,NA,Synergy,Synergy,Synergy,Synergy,NA,NA
Cefsulodin,Meropenem,-0.264604335,-0.117154181,-0.304216315,-0.41868469,NA,NA,0.01041944,NA,NA,0.026520948,NA,NA,Synergy,NA,NA,Synergy,NA,NA
Trimethoprim,Sulfamonomethoxine,-0.50044048,-0.341886375,-0.182298983,-0.117187188,NA,NA,0.001666307,0.001463305,0.001768535,0.040586916,NA,NA,Synergy,Synergy,Synergy,Synergy,NA,NA
Procaine,Rifampicin,-0.438705375,-0.416475251,-0.123317664,-0.074131667,NA,NA,0.001666307,0.001463305,0.007031004,NA,NA,NA,Synergy,Synergy,Synergy,NA,NA,NA
Procaine,Azithromycin,-0.338826742,-0.432040162,-0.314389757,-0.268054686,NA,NA,0.001666307,0.001463305,0.003167815,0.007468165,NA,NA,Synergy,Synergy,Synergy,Synergy,NA,NA
Procaine,Phleomycin,-0.345692278,-0.397429515,-0.149339735,-0.252930113,NA,NA,0.001666307,0.001463305,NA,0.002167452,NA,NA,Synergy,Synergy,NA,Synergy,NA,NA
Vanillin,EGCG,-0.119164818,-0.079708603,-0.104883439,-0.099848482,NA,NA,0.033631637,NA,0.011530847,NA,NA,NA,Synergy,NA,Synergy,NA,NA,NA
Verapamil,CCCP,-0.222312053,-0.138037392,-0.090954788,-0.196909399,NA,NA,0.001666307,0.001463305,NA,0.002167452,NA,NA,Synergy,Synergy,NA,Synergy,NA,NA
Nitrofurantoin,Phleomycin,-0.368598903,-0.265530031,-0.333716166,-0.462208597,NA,NA,0.001666307,0.001463305,0.019204746,0.002167452,NA,NA,Synergy,Synergy,Synergy,Synergy,NA,NA
CCCP,Colistin,-0.51686063,-0.406252095,-0.800167807,-0.531254863,NA,NA,0.004098642,NA,0.001768535,NA,NA,NA,Synergy,NA,Synergy,NA,NA,NA
Caffeine,Acetylsalisylic acid,-0.106406054,0.02230812,-0.144139688,-0.082588827,NA,NA,0.019773113,NA,0.027345882,NA,NA,NA,Synergy,NA,Synergy,NA,NA,NA
Bleomycin,Colistin,-0.633007288,-0.477161213,-0.229569503,-0.382546021,NA,NA,0.001666307,0.040128658,NA,0.047713849,NA,NA,Synergy,Synergy,NA,Synergy,NA,NA
Bleomycin,Streptozotocin,-0.24077915,-0.061188863,-0.458268032,-0.180115418,NA,NA,0.002956627,NA,0.001768535,0.003743781,NA,NA,Synergy,NA,Synergy,Synergy,NA,NA
Cerulenin,Colistin,-0.573757915,-0.071911328,-0.249972712,-0.366735079,NA,NA,0.038681755,NA,0.003167815,0.021620338,NA,NA,Synergy,NA,Synergy,Synergy,NA,NA
Chloramphenicol,CHIR-90,-0.499977021,0.154655375,-0.25792917,-0.156384017,NA,NA,0.037737317,NA,NA,0.015374463,NA,NA,Synergy,NA,NA,Synergy,NA,NA
Bacitracin,CHIR-90,-0.547153696,-0.243468746,-0.822752544,-0.470242657,NA,NA,0.014348339,0.006382388,0.019204746,0.002167452,NA,NA,Synergy,Synergy,Synergy,Synergy,NA,NA
Fusidic acid,CHIR-90,-0.482980145,-0.614364889,-0.82602969,-0.574041365,NA,NA,0.044950759,0.001813026,0.04380092,0.002167452,NA,NA,Synergy,Synergy,Synergy,Synergy,NA,NA
Verapamil,CHIR-90,-0.516641903,-0.343737983,-0.197698707,-0.393577918,NA,NA,0.025469742,0.001463305,NA,0.002167452,NA,NA,Synergy,Synergy,NA,Synergy,NA,NA
A22,Meropenem,-0.336699351,-0.215070783,-0.219074205,-0.423964446,NA,NA,0.040889528,NA,NA,0.033978731,NA,NA,Synergy,NA,NA,Synergy,NA,NA
Clarithromycin,CHIR-90,-0.442510406,-0.320801168,-0.171677193,-0.324636672,NA,NA,0.045465588,0.001463305,NA,0.006370634,NA,NA,Synergy,Synergy,NA,Synergy,NA,NA
Chloramphenicol,Cerulenin,0.117127235,0.150738258,0.121663826,0.056355502,NA,NA,0.005217578,0.001463305,0.033447983,NA,NA,NA,Antagonism,Antagonism,Antagonism,NA,NA,NA
Ciprofloxacin,Vanillin,0.466759742,0.675869386,0.320441169,0.755311193,NA,NA,0.001666307,0.001463305,0.001768535,0.001932534,NA,NA,Antagonism,Antagonism,Antagonism,Antagonism,NA,NA
Cycloserine D,Benzalkonium,0.176883107,0.16289892,0.374363083,0.031222283,NA,NA,0.001666307,0.010822467,0.02725941,NA,NA,NA,Antagonism,Antagonism,Antagonism,NA,NA,NA
Doxycycline,Fosfomycin,0.482518251,0.491957181,0.104578072,0.106950657,NA,NA,0.001666307,0.001463305,0.003167815,NA,NA,NA,Antagonism,Antagonism,Antagonism,NA,NA,NA
Doxycycline,Trimethoprim,0.186937777,0.103076619,0.122674513,0.15481405,NA,NA,0.002956627,0.004486711,0.001768535,0.002167452,NA,NA,Antagonism,Antagonism,Antagonism,Antagonism,NA,NA
Doxycycline,Vanillin,0.212281503,0.443336955,0.064043455,0.162430041,NA,NA,0.001666307,0.001463305,NA,0.002167452,NA,NA,Antagonism,Antagonism,NA,Antagonism,NA,NA
Doxycycline,Mecillinam,0.232941725,0.333431545,0.426536072,0.261288096,NA,NA,0.001666307,0.001463305,0.001661372,0.002167452,NA,NA,Antagonism,Antagonism,Antagonism,Antagonism,NA,NA
Doxycycline,Imipenem,0.213706246,0.260199936,0.090229058,0.17255408,NA,NA,0.001666307,0.004305125,NA,0.005087138,NA,NA,Antagonism,Antagonism,NA,Antagonism,NA,NA
Doxycycline,Cerulenin,0.166082903,0.181187136,0.106201242,0.121958167,NA,NA,0.001666307,0.001463305,0.009429431,0.019543808,NA,NA,Antagonism,Antagonism,Antagonism,Antagonism,NA,NA
Spectinomycin,Erythromycin,0.151365139,0.103170175,0.122492686,0.077969868,NA,NA,0.002956627,NA,0.037875045,NA,NA,NA,Antagonism,NA,Antagonism,NA,NA,NA
Spectinomycin,Trimethoprim,0.14438749,0.092911312,0.129234414,0.05312382,NA,NA,0.005217578,NA,0.001768535,NA,NA,NA,Antagonism,NA,Antagonism,NA,NA,NA
Spectinomycin,Metformin,0.1745947,0.116111496,0.137907287,0.088758268,NA,NA,0.004098642,NA,0.017321015,NA,NA,NA,Antagonism,NA,Antagonism,NA,NA,NA
Spectinomycin,Phleomycin,0.154053989,0.155488528,0.283953542,0.178274281,NA,NA,0.008407909,0.019818643,0.001768535,0.011087353,NA,NA,Antagonism,Antagonism,Antagonism,Antagonism,NA,NA
Oxacillin,Benzalkonium,0.123158861,0.06265873,0.312522665,0.035143894,NA,NA,0.011439332,NA,0.048884,NA,NA,NA,Antagonism,NA,Antagonism,NA,NA,NA
Novobiocin,Cerulenin,0.110739631,0.73512978,0.051501721,0.490944836,NA,NA,0.04026645,0.001463305,NA,0.002167452,NA,NA,Antagonism,Antagonism,NA,Antagonism,NA,NA
Novobiocin,Curcumin,0.261650653,0.457743182,0.053237902,0.3703378,NA,NA,0.001666307,0.001463305,NA,0.037093717,NA,NA,Antagonism,Antagonism,NA,Antagonism,NA,NA
Amikacin,Benzalkonium,0.401124813,0.0822675,0.294531585,0.28742906,NA,NA,0.001666307,NA,0.001768535,0.012147357,NA,NA,Antagonism,NA,Antagonism,Antagonism,NA,NA
Cefaclor,Procaine,0.166000739,0.065022161,0.13135208,0.240984415,NA,NA,0.001666307,NA,0.010482588,0.002167452,NA,NA,Antagonism,NA,Antagonism,Antagonism,NA,NA
Cefaclor,Vanillin,0.107433687,0.341779727,0.447415046,0.100617142,NA,NA,0.005217578,0.001306049,0.005683642,NA,NA,NA,Antagonism,Antagonism,Antagonism,NA,NA,NA
Clindamycin,Clarithromycin,0.10015673,0.066020939,0.05798305,0.100663831,NA,NA,0.044279898,NA,NA,0.007468165,NA,NA,Antagonism,NA,NA,Antagonism,NA,NA
Paraquat,CHIR-90,0.490560052,0.612597441,0.83747677,0.509482335,NA,NA,0.001666307,0.001463305,0.033722288,0.01393959,NA,NA,Antagonism,Antagonism,Antagonism,Antagonism,NA,NA
Procaine,Aztreonam,0.447644975,0.310105009,0.42339975,0.573961433,NA,NA,0.001666307,0.001463305,0.001768535,0.002167452,NA,NA,Antagonism,Antagonism,Antagonism,Antagonism,NA,NA
Procaine,Gentamicin,0.564247398,0.17950392,0.681990291,0.159489935,NA,NA,0.001666307,NA,0.001768535,NA,NA,NA,Antagonism,NA,Antagonism,NA,NA,NA
Levofloxacin,Acetylsalisylic acid,0.605097282,0.468387338,0.553961866,0.666126781,NA,NA,0.001666307,0.001463305,0.004468519,NA,NA,NA,Antagonism,Antagonism,Antagonism,NA,NA,NA
Mecillinam,Metformin,0.414384026,0.140236468,0.674525954,0.254120239,NA,NA,0.001666307,NA,NA,0.010039295,NA,NA,Antagonism,NA,NA,Antagonism,NA,NA
EGCG,Phleomycin,0.217201721,0.198949627,0.357135984,0.125141095,NA,NA,0.001666307,0.002551072,0.001768535,0.025675975,NA,NA,Antagonism,Antagonism,Antagonism,Antagonism,NA,NA
Rifampicin,Aztreonam,0.238189882,0.253984217,0.244356608,-0.027165584,NA,NA,0.001666307,0.001463305,0.001661372,NA,NA,NA,Antagonism,Antagonism,Antagonism,NA,NA,NA
Aztreonam,Caffeine,0.417511658,0.067802081,0.14059663,0.151962305,NA,NA,0.001666307,NA,NA,0.012295927,NA,NA,Antagonism,NA,NA,Antagonism,NA,NA
Aztreonam,Acetylsalisylic acid,0.636408414,0.676347683,0.553683812,0.702076534,NA,NA,0.001666307,0.001463305,0.001768535,0.042934004,NA,NA,Antagonism,Antagonism,Antagonism,Antagonism,NA,NA
Clarithromycin,Bleomycin,0.152980652,0.116306021,0.109994508,0.049417495,NA,NA,0.001666307,NA,0.017321015,NA,NA,NA,Antagonism,NA,Antagonism,NA,NA,NA
Clarithromycin,Phleomycin,0.174516597,0.065107297,0.223594107,0.131711005,NA,NA,0.035915753,NA,0.036166863,0.047713849,NA,NA,Antagonism,NA,Antagonism,Antagonism,NA,NA
Cerulenin,CHIR-90,0.890493204,0.748993512,0.9966773,0.503565832,NA,NA,0.001666307,0.001463305,0.003167815,0.009018492,NA,NA,Antagonism,Antagonism,Antagonism,Antagonism,NA,NA
Ciprofloxacin,Paraquat,0.399411061,0.260262911,0.297229512,0.72758547,NA,NA,0.005945218,0.003544318,0.001768535,0.001932534,NA,NA,Antagonism,Antagonism,Antagonism,Antagonism,NA,NA
Vanillin,CCCP,0.126430101,0.14665121,0.139394496,0.111714342,NA,NA,0.038071903,0.001306049,0.001768535,0.007468165,NA,NA,Antagonism,Antagonism,Antagonism,Antagonism,NA,NA
Vanillin,Moxifloxacin,0.370098465,0.250167322,0.039888432,0.318227239,NA,NA,0.02194326,0.003544318,NA,0.015374463,NA,NA,Antagonism,Antagonism,NA,Antagonism,NA,NA
EGCG,Moxifloxacin,0.345371883,0.23726891,0.041320578,0.596162537,NA,NA,0.024137586,0.001463305,NA,0.041116053,NA,NA,Antagonism,Antagonism,NA,Antagonism,NA,NA
Cycloserine D,Piperacillin,-0.144388666,-0.299334721,-0.636285605,-0.482330474,NA,NA,NA,0.005418631,0.001768535,0.036300814,NA,NA,NA,Synergy,Synergy,Synergy,NA,NA
Doxycycline,Azithromycin,-0.083938836,-0.249736558,-0.260461656,0.069332689,NA,NA,NA,0.018245011,0.035364122,NA,NA,NA,NA,Synergy,Synergy,NA,NA,NA
Fosfomycin,Bacitracin,0.090625029,-0.294694571,-0.143393366,-0.075209303,NA,NA,NA,0.001463305,0.005913255,NA,NA,NA,NA,Synergy,Synergy,NA,NA,NA
Fosfomycin,Piperacillin,-0.097494755,-0.294305731,-0.20345176,-0.175558805,NA,NA,NA,0.001463305,0.001768535,NA,NA,NA,NA,Synergy,Synergy,NA,NA,NA
Novobiocin,Cefsulodin,-0.107742293,-0.137231096,-0.068013644,-0.204662476,NA,NA,NA,0.005418631,NA,0.002167452,NA,NA,NA,Synergy,NA,Synergy,NA,NA
Novobiocin,A22,-0.104017215,-0.200428236,-0.037197669,-0.229780853,NA,NA,NA,0.001463305,NA,0.01747098,NA,NA,NA,Synergy,NA,Synergy,NA,NA
Novobiocin,Bleomycin,-0.17835672,-0.275141067,-0.05854599,-0.276388353,NA,NA,NA,0.001463305,NA,0.002167452,NA,NA,NA,Synergy,NA,Synergy,NA,NA
Polymyxin B,CCCP,-0.082089584,-0.169602853,-0.098647127,-0.437255644,NA,NA,NA,0.009135354,NA,0.002167452,NA,NA,NA,Synergy,NA,Synergy,NA,NA
Fusidic acid,CCCP,-0.08833728,-0.149643371,0.026958119,-0.150812009,NA,NA,NA,0.036033897,NA,0.002167452,NA,NA,NA,Synergy,NA,Synergy,NA,NA
Cefotaxime,Cefaclor,-0.091854508,-0.205169976,-0.09547083,-0.235809292,NA,NA,NA,0.001463305,NA,0.001836122,NA,NA,NA,Synergy,NA,Synergy,NA,NA
Spiramycin,CHIR-90,-0.252561406,-0.276693044,-0.206995309,-0.367133172,NA,NA,NA,0.001463305,NA,0.002167452,NA,NA,NA,Synergy,NA,Synergy,NA,NA
Erythromycin,CHIR-90,-0.290809977,-0.275795728,-0.139429194,-0.291553438,NA,NA,NA,0.001463305,NA,0.003743781,NA,NA,NA,Synergy,NA,Synergy,NA,NA
Paraquat,Imipenem,-0.086831695,-0.112153926,-0.184390594,-0.096952068,NA,NA,NA,0.020590798,0.001768535,NA,NA,NA,NA,Synergy,Synergy,NA,NA,NA
Vanillin,Ciclopirox,-0.207652363,-0.13272791,-0.267220242,-0.076423225,NA,NA,NA,0.040831611,0.007031004,NA,NA,NA,NA,Synergy,Synergy,NA,NA,NA
Vanillin,Phleomycin,-0.126403573,-0.179240538,-0.261324823,-0.427188711,NA,NA,NA,0.021287717,0.022355724,0.002167452,NA,NA,NA,Synergy,Synergy,Synergy,NA,NA
Verapamil,Chlorhexidine,-0.086740814,-0.153530258,-0.832326189,-0.480087562,NA,NA,NA,0.001463305,0.011530847,0.003743781,NA,NA,NA,Synergy,Synergy,Synergy,NA,NA
Piperacillin,Meropenem,-0.073097917,-0.161554188,-0.296475539,-0.542845315,NA,NA,NA,0.04972872,NA,0.001836122,NA,NA,NA,Synergy,NA,Synergy,NA,NA
Piperacillin,CHIR-90,-0.099473209,-0.50417301,-0.549468835,-0.306228684,NA,NA,NA,0.001463305,0.010669303,NA,NA,NA,NA,Synergy,Synergy,NA,NA,NA
Loperamide,Chlorhexidine,-0.089636464,-0.104978636,-0.855218809,-0.56063525,NA,NA,NA,0.016847017,0.010482588,NA,NA,NA,NA,Synergy,Synergy,NA,NA,NA
Metronidazole,Mitomycin C,-0.090526141,-0.112586829,-0.115071455,0.037630994,NA,NA,NA,0.002551072,0.003167815,NA,NA,NA,NA,Synergy,Synergy,NA,NA,NA
Rifampicin,CHIR-90,-0.349474339,-0.55469716,-0.72923959,-0.921394396,NA,NA,NA,0.02934497,0.025367863,0.002167452,NA,NA,NA,Synergy,Synergy,Synergy,NA,NA
Bleomycin,CHIR-90,-0.198614037,-0.401289067,-0.578080365,-0.40334494,NA,NA,NA,0.001463305,NA,0.002167452,NA,NA,NA,Synergy,NA,Synergy,NA,NA
Doxycycline,Rifampicin,-0.196073573,-0.32338823,-0.211766309,-0.329066765,NA,NA,NA,0.014596009,0.001768535,0.003743781,NA,NA,NA,Synergy,Synergy,Synergy,NA,NA
Doxycycline,CHIR-90,-0.283413429,-0.357626411,-0.782771955,-0.340024884,NA,NA,NA,0.011429254,0.022249401,0.002167452,NA,NA,NA,Synergy,Synergy,Synergy,NA,NA
Novobiocin,Amikacin,-0.116473372,-0.178617556,-0.060326043,-0.124214353,NA,NA,NA,0.004600072,NA,0.005087138,NA,NA,NA,Synergy,NA,Synergy,NA,NA
Amikacin,Levofloxacin,-0.044191329,-0.170397223,-0.364328218,-0.420785489,NA,NA,NA,0.01038815,0.008390423,0.003313462,NA,NA,NA,Synergy,Synergy,Synergy,NA,NA
Clindamycin,CHIR-90,-0.222551854,-0.23620357,-0.069009948,-0.240419939,NA,NA,NA,0.011429254,NA,0.002167452,NA,NA,NA,Synergy,NA,Synergy,NA,NA
Chloramphenicol,Trimethoprim,0.118255356,0.154370017,0.109468283,0.130620877,NA,NA,NA,0.001463305,0.014975126,0.033134618,NA,NA,NA,Antagonism,Antagonism,Antagonism,NA,NA
Chloramphenicol,Mitomycin C,0.075799215,0.201503916,0.160295338,0.069856543,NA,NA,NA,0.001463305,0.001768535,NA,NA,NA,NA,Antagonism,Antagonism,NA,NA,NA
Doxycycline,Phleomycin,0.084380358,0.182374154,0.275756575,0.127503421,NA,NA,NA,0.007206779,0.038668622,NA,NA,NA,NA,Antagonism,Antagonism,NA,NA,NA
Spectinomycin,Novobiocin,0.1115619,0.178118543,-0.067953655,0.28099274,NA,NA,NA,0.001463305,NA,0.002167452,NA,NA,NA,Antagonism,NA,Antagonism,NA,NA
Novobiocin,Paraquat,0.10454787,0.686287333,-0.052687727,0.27414272,NA,NA,NA,0.001463305,NA,0.002167452,NA,NA,NA,Antagonism,NA,Antagonism,NA,NA
Novobiocin,Procaine,0.091737937,0.281491403,0.040868167,0.209628565,NA,NA,NA,0.001463305,NA,0.002167452,NA,NA,NA,Antagonism,NA,Antagonism,NA,NA
Novobiocin,Vanillin,0.076700459,0.693063515,0.046025125,0.285536526,NA,NA,NA,0.001463305,NA,0.002167452,NA,NA,NA,Antagonism,NA,Antagonism,NA,NA
Novobiocin,Nitrofurantoin,0.057471331,0.369849695,-0.038612158,0.214119068,NA,NA,NA,0.001463305,NA,0.002167452,NA,NA,NA,Antagonism,NA,Antagonism,NA,NA
Novobiocin,Clarithromycin,0.052839399,0.154153412,0.038574323,0.236704849,NA,NA,NA,0.003544318,NA,0.002167452,NA,NA,NA,Antagonism,NA,Antagonism,NA,NA
Novobiocin,Reserpine,0.039267287,0.175763309,0.063602628,0.130125105,NA,NA,NA,0.049084011,NA,0.005087138,NA,NA,NA,Antagonism,NA,Antagonism,NA,NA
Fusidic acid,Mitomycin C,-0.104401955,0.123518702,0.127224615,0.144975638,NA,NA,NA,0.027869116,NA,0.002167452,NA,NA,NA,Antagonism,NA,Antagonism,NA,NA
Benzalkonium,Gentamicin,0.359309136,0.318888448,0.224323221,0.383985889,NA,NA,NA,0.003544318,NA,0.048926853,NA,NA,NA,Antagonism,NA,Antagonism,NA,NA
Trimethoprim,Procaine,0.092592459,0.18856627,0.143039773,0.18401829,NA,NA,NA,0.001463305,0.001768535,0.002167452,NA,NA,NA,Antagonism,Antagonism,Antagonism,NA,NA
Trimethoprim,Aztreonam,0.110201345,0.240060197,0.071394699,0.125510127,NA,NA,NA,0.001463305,NA,0.002167452,NA,NA,NA,Antagonism,NA,Antagonism,NA,NA
Trimethoprim,Penicillin G,-0.075644948,0.10892675,-0.054725617,0.10066855,NA,NA,NA,0.004486711,NA,0.006370634,NA,NA,NA,Antagonism,NA,Antagonism,NA,NA
Trimethoprim,Puromycin,0.12749971,0.14192779,0.155250499,0.167079063,NA,NA,NA,0.001463305,0.001768535,0.002167452,NA,NA,NA,Antagonism,Antagonism,Antagonism,NA,NA
Trimethoprim,Azithromycin,0.087373399,0.188878654,0.123727413,0.169797405,NA,NA,NA,0.002551072,NA,0.003743781,NA,NA,NA,Antagonism,NA,Antagonism,NA,NA
Trimethoprim,Curcumin,0.102200928,0.285944286,0.105865133,0.186474608,NA,NA,NA,0.001463305,NA,0.012295927,NA,NA,NA,Antagonism,NA,Antagonism,NA,NA
Paraquat,Mitomycin C,0.088586653,0.235659885,0.328265757,0.088723907,NA,NA,NA,0.001463305,0.001768535,NA,NA,NA,NA,Antagonism,Antagonism,NA,NA,NA
Paraquat,Azithromycin,0.085097435,0.136773071,0.251322662,0.072809482,NA,NA,NA,0.004486711,0.003167815,NA,NA,NA,NA,Antagonism,Antagonism,NA,NA,NA
Paraquat,Moxifloxacin,0.416172406,0.468008054,0.201821679,0.595949773,NA,NA,NA,0.001463305,NA,0.005087138,NA,NA,NA,Antagonism,NA,Antagonism,NA,NA
Mecillinam,Rifampicin,0.132687477,0.295773878,0.315670513,0.242164792,NA,NA,NA,0.001463305,0.005683642,0.005087138,NA,NA,NA,Antagonism,Antagonism,Antagonism,NA,NA
Mecillinam,Colistin,0.33764887,0.204143969,0.299933596,0.499239045,NA,NA,NA,0.019818643,NA,0.007468165,NA,NA,NA,Antagonism,NA,Antagonism,NA,NA
Aztreonam,Gentamicin,0.09071479,0.333257911,-0.061104601,0.17841056,NA,NA,NA,0.001463305,NA,0.03494196,NA,NA,NA,Antagonism,NA,Antagonism,NA,NA
Clarithromycin,Mitomycin C,0.083309736,0.217175254,0.23921787,0.109804783,NA,NA,NA,0.001463305,0.001768535,0.014283707,NA,NA,NA,Antagonism,Antagonism,Antagonism,NA,NA
Puromycin,Mitomycin C,0.076013002,0.122487965,0.183021394,0.093631307,NA,NA,NA,0.007206779,0.001768535,NA,NA,NA,NA,Antagonism,Antagonism,NA,NA,NA
Chloramphenicol,Ciclopirox,-0.15131813,0.232097045,-0.1000777,0.117421545,NA,NA,NA,0.049352607,NA,0.037093717,NA,NA,NA,Antagonism,NA,Antagonism,NA,NA
Paraquat,Puromycin,0.038640252,0.559475969,0.051369691,0.104189907,NA,NA,NA,0.001306049,NA,0.003743781,NA,NA,NA,Antagonism,NA,Antagonism,NA,NA
Amoxicillin,Amikacin,-0.128011559,-0.082691339,-0.11550439,-0.144999624,-0.195177782,-0.222803735,0.004098642,NA,0.040152056,0.002167452,0.002089943,0.009188736,Synergy,NA,Synergy,Synergy,Synergy,Synergy
Fosfomycin,Paraquat,-0.154238772,-0.311104154,-0.135278132,-0.104436314,-0.142640621,-0.06622515,0.037076678,0.001463305,0.001768535,NA,0.002089943,NA,Synergy,Synergy,Synergy,NA,Synergy,NA
Novobiocin,Mitomycin C,-0.22115808,-0.088347853,-0.129821449,-0.062747963,-0.135664502,-0.155706805,0.037076678,NA,0.001768535,NA,0.002089943,0.002815025,Synergy,NA,Synergy,NA,Synergy,Synergy
Novobiocin,Colistin,-0.774705061,-0.720989298,-0.917714087,-0.826902525,-0.0537117,-0.136512668,0.001666307,0.001463305,0.001768535,0.002167452,NA,0.024543598,Synergy,Synergy,Synergy,Synergy,NA,Synergy
Bacitracin,Colistin,-0.965164346,-0.885705838,-0.917825448,-0.924046121,-0.815646667,-0.841015294,0.001666307,0.001463305,0.001768535,0.002167452,0.001981816,0.002994083,Synergy,Synergy,Synergy,Synergy,Synergy,Synergy
Polymyxin B,Benzalkonium,-0.819623718,-0.819232842,-0.879138749,-0.876298018,-0.500654679,-0.479588862,0.001666307,0.001463305,0.001768535,0.002167452,0.002089943,0.002815025,Synergy,Synergy,Synergy,Synergy,Synergy,Synergy
Polymyxin B,Verapamil,-0.262133424,-0.161747833,-0.580353432,-0.335516233,-0.437198311,-0.757675363,0.014413559,0.002551072,0.003167815,0.020677679,0.002089943,0.002815025,Synergy,Synergy,Synergy,Synergy,Synergy,Synergy
Polymyxin B,Loperamide,-0.231518737,-0.150520767,-0.853815478,-0.067092734,-0.270204007,-0.379259176,0.004098642,0.002551072,0.001768535,NA,0.002089943,0.002815025,Synergy,Synergy,Synergy,NA,Synergy,Synergy
Polymyxin B,Clarithromycin,-0.392426483,-0.278669123,-0.633968388,-0.607393365,0.054443886,-0.155462159,0.001666307,0.001463305,0.001768535,0.002167452,NA,0.002815025,Synergy,Synergy,Synergy,Synergy,NA,Synergy
Fusidic acid,Colistin,-0.820935346,-0.788643324,-0.934221985,-0.896055036,0.050232584,-0.133395884,0.001666307,0.001463305,0.001768535,0.002167452,NA,0.007402038,Synergy,Synergy,Synergy,Synergy,NA,Synergy
Benzalkonium,CCCP,-0.205806749,-0.127837254,-0.167927664,-0.232903416,-0.114874455,-0.226031009,0.001666307,0.003544318,0.001768535,0.002167452,0.001981816,0.002815025,Synergy,Synergy,Synergy,Synergy,Synergy,Synergy
Benzalkonium,Chlorhexidine,-0.113500404,-0.322736853,-0.849285492,-0.800514354,-0.462122749,-0.695303291,0.037076678,0.041325588,0.001768535,0.002167452,0.031378853,0.002994083,Synergy,Synergy,Synergy,Synergy,Synergy,Synergy
Benzalkonium,Colistin,-0.889208297,-0.863154208,-0.911091745,-0.918020451,-0.845552949,-0.794145399,0.001666307,0.001463305,0.001768535,0.002167452,0.001981816,0.002994083,Synergy,Synergy,Synergy,Synergy,Synergy,Synergy
Erythromycin,Colistin,-0.689452066,-0.729604764,-0.666426783,-0.650460855,0.006364444,-0.179899609,0.001666307,0.001463305,0.001768535,0.002167452,NA,0.002994083,Synergy,Synergy,Synergy,Synergy,NA,Synergy
Verapamil,Mitomycin C,-0.127502278,-0.139949953,-0.27396389,-0.112141854,0.055770153,-0.146128136,0.041051275,0.002551072,0.001768535,0.002167452,NA,0.025748092,Synergy,Synergy,Synergy,Synergy,NA,Synergy
Verapamil,Colistin,-0.901021217,-0.909474128,-0.901587526,-0.410435912,-0.657857943,-0.622125527,0.001666307,0.001463305,0.001768535,0.007468165,0.001981816,0.002815025,Synergy,Synergy,Synergy,Synergy,Synergy,Synergy
A22,Imipenem,-0.179297277,-0.119598323,-0.066061951,-0.214150262,-0.025180084,-0.144688639,0.016255893,NA,NA,0.004777975,NA,0.002815025,Synergy,NA,NA,Synergy,NA,Synergy
Loperamide,Colistin,-0.887648499,-0.872118735,-0.20013002,-0.838254191,-0.704550061,-0.766014246,0.001666307,0.001463305,NA,0.002167452,0.001981816,0.002994083,Synergy,Synergy,NA,Synergy,Synergy,Synergy
Rifampicin,Colistin,-0.845545235,-0.742027621,-0.990639812,-0.909552592,-0.537393725,-0.39285203,0.001666307,0.022106685,0.001768535,0.002167452,0.001981816,0.002994083,Synergy,Synergy,Synergy,Synergy,Synergy,Synergy
Clarithromycin,Colistin,-0.776762623,-0.795156183,-0.780843914,-0.727968378,-0.368514519,-0.305795629,0.001666307,0.001463305,0.001768535,0.002167452,0.00503913,0.011123888,Synergy,Synergy,Synergy,Synergy,Synergy,Synergy
