Drug A,Drug B,organism ,value,type,method,PMID
Novobiocin,Pyocyanin,Salmonella typhimurium 14028,0.49,Antagonism,Bliss,29973719
Novobiocin,Minocycline,Salmonella typhimurium 14028,0.12,Antagonism,Bliss,29973719
Novobiocin,Fusidic Acid,Salmonella typhimurium 14028,0.1,Antagonism,Bliss,29973719
Novobiocin,Polymyxin B,Salmonella typhimurium LT2,-0.18,Synergy,Bliss,29973719
Novobiocin,Colistin,Salmonella typhimurium LT2,-0.92,Synergy,Bliss,29973719
Novobiocin,Cefsulodin,Salmonella typhimurium LT2,-0.07,Additivity,Bliss,29973719
Novobiocin,Bleomycin,Salmonella typhimurium LT2,-0.06,Additivity,Bliss,29973719
Novobiocin,Amikacin,Salmonella typhimurium LT2,-0.06,Additivity,Bliss,29973719
Novobiocin,Nitrofurantoin,Salmonella typhimurium LT2,-0.04,Additivity,Bliss,29973719
Novobiocin,Clarithromycin,Salmonella typhimurium LT2,0.04,Additivity,Bliss,29973719
Novobiocin,Mecillinam,Salmonella typhimurium LT2,-0.04,Additivity,Bliss,29973719
Novobiocin,Tobramycin,Salmonella typhimurium LT2,-0.05,Additivity,Bliss,29973719
Novobiocin,Lmipenem,Salmonella typhimurium LT2,-0.06,Additivity,Bliss,29973719
Novobiocin,Erythromycin,Salmonella typhimurium LT2,0.03,Additivity,Bliss,29973719
Novobiocin,Chlorhexidine,Salmonella typhimurium LT2,-0.18,Synergy,Bliss,29973719
Novobiocin,Cefotaxime,Salmonella typhimurium LT2,-0.06,Additivity,Bliss,29973719
Novobiocin,Minocycline,Salmonella typhimurium LT2,-0.04,Additivity,Bliss,29973719
Novobiocin,Fusidic Acid,Salmonella typhimurium LT2,-0.03,Additivity,Bliss,29973719
Novobiocin,Pyocyanin,Salmonella typhimurium LT2,0.07,Additivity,Bliss,29973719
Novobiocin,Spectinomycin,Escherichia coli BW25113,0.11,Additivity,Bliss,29973719
Novobiocin,Doxycycline,Escherichia coli BW25113,0.12,Additivity,Bliss,29973719
Novobiocin,Fosfomycin,Escherichia coli BW25113,0.31,Antagonism,Bliss,29973719
Novobiocin,Spectinomycin,Escherichia coli iAi1,0.18,Antagonism,Bliss,29973719
Novobiocin,Doxycycline,Escherichia coli iAi1,-0.29,Synergy,Bliss,29973719
Novobiocin,Fosfomycin,Escherichia coli iAi1,0.21,Antagonism,Bliss,29973719
Novobiocin,Spectinomycin,Mycobacterium tuberculosis,-1,Synergy,,27222539
Novobiocin,Fosfomycin,Pseudomonas aeruginosa PA14,-0.06,Additivity,Bliss,29973719
Novobiocin,Fosfomycin,Pseudomonas aeruginosa PAO1,-0.15,Synergy,Bliss,29973719
Novobiocin,Spectinomycin,Salmonella typhimurium 14028,0.28,Antagonism,Bliss,29973719
Novobiocin,Chloramphenicol,Salmonella typhimurium 14028,0.21,Antagonism,Bliss,29973719
Novobiocin,Fosfomycin,Salmonella typhimurium 14028,0.08,Additivity,Bliss,29973719
Novobiocin,Doxycycline,Salmonella typhimurium 14028,0.22,Antagonism,Bliss,29973719
Novobiocin,Spectinomycin,Salmonella typhimurium LT2,-0.07,Additivity,Bliss,29973719
Novobiocin,Chloramphenicol,Salmonella typhimurium LT2,-0.05,Additivity,Bliss,29973719
Novobiocin,Fosfomycin,Salmonella typhimurium LT2,-0.13,Synergy,Bliss,29973719
Novobiocin,Doxycycline,Salmonella typhimurium LT2,-0.06,Additivity,Bliss,29973719
Ofloxacin,Tetracycline,Acinetobacter baumannii ATCC BAA-1710,1.5,Indifferent,FICI,33972678
Ofloxacin,Doxycycline,Acinetobacter baumannii ATCC BAA-1710,1.5,Indifferent,FICI,33972678
Ofloxacin,Minocycline,Acinetobacter baumannii ATCC BAA-1710,2,Indifferent,FICI,33972678
Ofloxacin,Tigecycline,Acinetobacter baumannii ATCC BAA-1710,1,Indifferent,FICI,33972678
Ofloxacin,Ceftazidime,Pseudomonas testosteroni,0.25,Synergy,FICI,10382886
Oxacillin,Cefaclor,Escherichia coli BW25113,-0.69,Synergy,Bliss,29973719
Oxacillin,Mecillinam,Escherichia coli BW25113,-0.13,Synergy,Bliss,29973719
Oxacillin,Penicillin G,Escherichia coli BW25113,-0.24,Synergy,Bliss,29973719
Oxacillin,Cefotaxime,Escherichia coli BW25113,-0.11,Additivity,Bliss,29973719
Oxacillin,Piperacillin,Escherichia coli BW25113,-0.07,Additivity,Bliss,29973719
Oxacillin,Aztreonam,Escherichia coli BW25113,-0.1,Additivity,Bliss,29973719
Oxacillin,Polymyxin B,Escherichia coli BW25113,0.64,Antagonism,Bliss,29973719
Oxacillin,Cefaclor,Escherichia coli iAi1,-0.71,Synergy,Bliss,29973719
Oxacillin,Cefotaxime,Escherichia coli iAi1,-0.31,Synergy,Bliss,29973719
Oxacillin,Piperacillin,Escherichia coli iAi1,-0.19,Synergy,Bliss,29973719
Oxacillin,Aztreonam,Escherichia coli iAi1,-0.16,Synergy,Bliss,29973719
Oxacillin,Penicillin G,Escherichia coli iAi1,-0.71,Synergy,Bliss,29973719
Oxacillin,Mecillinam,Escherichia coli iAi1,-0.12,Additivity,Bliss,29973719
Oxacillin,Polymyxin B,Escherichia coli iAi1,0.05,Additivity,Bliss,29973719
Oxacillin,Rifampicin,Escherichia coli MG1655,0.91,Additivity,,28383902
Oxacillin,Tobramycin,Escherichia coli MG1655,0.6,Additivity,,28383902
Oxacillin,Roxithromycin,Escherichia coli MG1655,0.4,Additivity,,28383902
Oxacillin,Spectinomycin,Escherichia coli MG1655,0.14,Additivity,,28383902
Oxacillin,Vancomycin,Escherichia coli MG1655,-0.18,Additivity,,28383902
Oxacillin,Tetracycline,Escherichia coli MG1655,-0.79,Synergy,,28383902
Oxacillin,Penicillin G,Escherichia coli MG1655,-1.03,Synergy,,28383902
Oxacillin,Trimethoprim,Escherichia coli MG1655,-1.33,Synergy,,28383902
Oxacillin,Rifampicin,Escherichia coli MG1655,0.91,Additivity,,27222539
Oxacillin,Tobramycin,Escherichia coli MG1655,0.6,Additivity,,27222539
Oxacillin,Spectinomycin,Escherichia coli MG1655,0.14,Additivity,,27222539
Oxacillin,Vancomycin,Escherichia coli MG1655,-0.18,Additivity,,27222539
Oxacillin,Tetracycline,Escherichia coli MG1655,-0.79,Synergy,,27222539
Oxacillin,Trimethoprim,Escherichia coli MG1655,-1.33,Synergy,,27222539
Oxacillin,Linezolid,Methicillin-resistant Staphylococcus aureus ATCC43300,nan,Antagonism,Bliss,33013731
Oxacillin,Rifampicin,Methicillin-resistant Staphylococcus aureus ATCC43300,nan,Antagonism,Bliss,33013731
Oxacillin,Levofloxacin,Methicillin-resistant Staphylococcus aureus ATCC43300,nan,Synergy,Bliss,33013731
Oxacillin,Fosfomycin,Methicillin-resistant Staphylococcus aureus ATCC43300,nan,Synergy,Bliss,33013731
Oxacillin,Tigecycline,Methicillin-resistant Staphylococcus aureus ATCC43300,nan,Antagonism,Bliss,33013731
Oxacillin,Vancomycin,Methicillin-resistant Staphylococcus aureus ATCC43300,nan,Synergy,Bliss,33013731
Oxacillin,Daptomycin,Methicillin-resistant Staphylococcus aureus ATCC43300,nan,Additivity,Bliss,33013731
Oxacillin,Gentamicin,Methicillin-resistant Staphylococcus aureus ATCC43300,nan,Synergy,Bliss,33013731
Oxacillin,Clindamycin,Methicillin-resistant Staphylococcus aureus ATCC43300,nan,Synergy,Bliss,33013731
Oxacillin,Chloramphenicol,Methicillin-resistant Staphylococcus aureus ATCC43300,nan,Antagonism,Bliss,33013731
Oxacillin,Penicillin G,Pseudomonas aeruginosa PA14,-0.04,Additivity,Bliss,29973719
Oxacillin,Tobramycin,Pseudomonas aeruginosa PA14,0.04,Additivity,Bliss,29973719
Oxacillin,Chlorhexidine,Pseudomonas aeruginosa PA14,0.4,Antagonism,Bliss,29973719
Oxacillin,Penicillin G,Pseudomonas aeruginosa PAO1,-0.1,Synergy,Bliss,29973719
Oxacillin,Tobramycin,Pseudomonas aeruginosa PAO1,-0.13,Synergy,Bliss,29973719
Oxacillin,Chlorhexidine,Pseudomonas aeruginosa PAO1,0.1,Additivity,Bliss,29973719
Oxacillin,Tetracycline,Staphylococcus aureus ATCC29213,1.66,Antagonism,,27222539
Oxacillin,Rifampicin,Staphylococcus aureus ATCC29213,1.45,Antagonism,,27222539
Oxacillin,Vancomycin,Staphylococcus aureus ATCC29213,0.08,Additivity,,27222539
Oxacillin,Amoxycillin,Escherichia coli BW25113,-0.55,Synergy,Bliss,29973719
Oxacillin,Amoxycillin,Escherichia coli iAi1,-0.65,Synergy,Bliss,29973719
Oxacillin,Nitrofurantoin,Escherichia coli MG1655,3.35,Antagonism,,28383902
Oxacillin,Nalidixic Acid,Escherichia coli MG1655,1.48,Antagonism,,28383902
Oxacillin,Levofloxacin,Escherichia coli MG1655,1.36,Antagonism,,28383902
Oxacillin,Mupirocin,Escherichia coli MG1655,1.23,Antagonism,,28383902
Oxacillin,Chloramphenicol,Escherichia coli MG1655,1.21,Antagonism,,28383902
Oxacillin,Erythromycin,Escherichia coli MG1655,1.13,Antagonism,,28383902
Oxacillin,Ciprofloxacin,Escherichia coli MG1655,0.77,Additivity,,28383902
Oxacillin,Clarithromycin,Escherichia coli MG1655,0.77,Additivity,,28383902
Oxacillin,Amikacin,Escherichia coli MG1655,0.54,Additivity,,28383902
Oxacillin,Gentamicin,Escherichia coli MG1655,0.04,Additivity,,28383902
Oxacillin,Kanamycin,Escherichia coli MG1655,-0.32,Synergy,,28383902
Oxacillin,Cefoxitin,Escherichia coli MG1655,-0.33,Synergy,,28383902
Oxacillin,Fusidic Acid,Escherichia coli MG1655,-1.31,Synergy,,28383902
Oxacillin,Nitrofurantoin,Escherichia coli MG1655,3.35,Antagonism,,27222539
Oxacillin,Nalidixic Acid,Escherichia coli MG1655,1.48,Antagonism,,27222539
Oxacillin,Levofloxacin,Escherichia coli MG1655,1.36,Antagonism,,27222539
Oxacillin,Chloramphenicol,Escherichia coli MG1655,1.21,Antagonism,,27222539
Oxacillin,Erythromycin,Escherichia coli MG1655,1.13,Antagonism,,27222539
Oxacillin,Ciprofloxacin,Escherichia coli MG1655,0.77,Additivity,,27222539
Oxacillin,Clarithromycin,Escherichia coli MG1655,0.77,Additivity,,27222539
Oxacillin,Amikacin,Escherichia coli MG1655,0.54,Additivity,,27222539
Oxacillin,Gentamicin,Escherichia coli MG1655,0.04,Additivity,,27222539
Oxacillin,Cefoxitin,Escherichia coli MG1655,-0.33,Synergy,,27222539
Oxacillin,Fusidic Acid,Escherichia coli MG1655,-1.31,Synergy,,27222539
Oxacillin,Fosfomycin,Salmonella typhimurium 14028,-0.06,Additivity,Bliss,29973719
Oxacillin,Fosfomycin,Salmonella typhimurium LT2,-0.12,Synergy,Bliss,29973719
Oxacillin,Nitrofurantoin,Staphylococcus aureus ATCC29213,3.72,Antagonism,,27222539
Oxacillin,Gentamicin,Staphylococcus aureus ATCC29213,3.21,Antagonism,,27222539
Oxacillin,Chloramphenicol,Staphylococcus aureus ATCC29213,1.25,Antagonism,,27222539
Oxacillin,Erythromycin,Staphylococcus aureus ATCC29213,0.57,Additivity,,27222539
Oxacillin,Clarithromycin,Staphylococcus aureus ATCC29213,0.37,Additivity,,27222539
Oxacillin,Cefoxitin,Staphylococcus aureus ATCC29213,-0.23,Additivity,,27222539
Pefloxacin,Ceftazidime,Pseudomonas testosteroni,0.38,Synergy,FICI,10382886
Penicillin G,Tetracycline,Bacillus anthracis str. Sterne,2.03,Indifferent,FICI,15793105
Penicillin G,Rifampicin,Bacillus anthracis str. Sterne,1.5,Indifferent,FICI,15793105
Penicillin G,Clindamycin,Bacillus anthracis str. Sterne,1.5,Indifferent,FICI,15793105
Penicillin G,Vancomycin,Bacillus anthracis str. Sterne,1.06,Indifferent,FICI,15793105
Penicillin G,Telithromycin,Bacillus anthracis str. Sterne,0.72,Additivity,FICI,15793105
Penicillin G,Linezolid,Bacillus anthracis str. Sterne,4.25,Antagonism,FICI,15793105
Penicillin G,Tetracycline,Bacillus anthracis str. Sti,2.03,Indifferent,FICI,15793105
Penicillin G,Rifampicin,Bacillus anthracis str. Sti,9.33,Antagonism,FICI,15793105
Penicillin G,Clindamycin,Bacillus anthracis str. Sti,9.3,Antagonism,FICI,15793105
Penicillin G,Vancomycin,Bacillus anthracis str. Sti,34,Antagonism,FICI,15793105
Penicillin G,Telithromycin,Bacillus anthracis str. Sti,5,Antagonism,FICI,15793105
Penicillin G,Linezolid,Bacillus anthracis str. Sti,33,Antagonism,FICI,15793105
Penicillin G,Spectinomycin,Escherichia coli MG1655,1.28,Antagonism,,28383902
Penicillin G,Rifampicin,Escherichia coli MG1655,0.81,Additivity,,28383902
Penicillin G,Vancomycin,Escherichia coli MG1655,0.6,Additivity,,28383902
Penicillin G,Trimethoprim,Escherichia coli MG1655,0.5,Additivity,,28383902
Penicillin G,Tobramycin,Escherichia coli MG1655,0.49,Additivity,,28383902
Penicillin G,Roxithromycin,Escherichia coli MG1655,-0.18,Additivity,,28383902
Penicillin G,Tetracycline,Escherichia coli MG1655,-0.66,Synergy,,28383902
Penicillin G,Moxifloxacin,Pseudomonas aeruginosa PA14,0.04,Additivity,Bliss,29973719
Penicillin G,Moxifloxacin,Pseudomonas aeruginosa PAO1,-0.22,Synergy,Bliss,29973719
Penicillin G,Meropenem,Salmonella typhimurium 14028,-0.41,Synergy,Bliss,29973719
Penicillin G,Clarithromycin,Salmonella typhimurium 14028,0.06,Additivity,Bliss,29973719
Penicillin G,Puromycin,Salmonella typhimurium 14028,0.08,Additivity,Bliss,29973719
Penicillin G,Pyocyanin,Salmonella typhimurium 14028,0.1,Additivity,Bliss,29973719
Penicillin G,Meropenem,Salmonella typhimurium LT2,-0.27,Additivity,Bliss,29973719
Penicillin G,Clarithromycin,Salmonella typhimurium LT2,0.16,Antagonism,Bliss,29973719
Penicillin G,Puromycin,Salmonella typhimurium LT2,0.1,Antagonism,Bliss,29973719
Penicillin G,Pyocyanin,Salmonella typhimurium LT2,0.24,Antagonism,Bliss,29973719
Penicillin G,Ciprofloxacin,Bacillus anthracis str. Sterne,2.03,Indifferent,FICI,15793105
Penicillin G,Ciprofloxacin,Bacillus anthracis str. Sti,2.03,Indifferent,FICI,15793105
Penicillin G,Aztreonam,Escherichia coli BW25113,-0.24,Synergy,Bliss,29973719
Penicillin G,Oxacillin,Escherichia coli BW25113,-0.24,Synergy,Bliss,29973719
Penicillin G,Fosfomycin,Escherichia coli BW25113,-0.13,Synergy,Bliss,29973719
Penicillin G,Amoxycillin,Escherichia coli BW25113,-0.1,Additivity,Bliss,29973719
Penicillin G,Cefotaxime,Escherichia coli BW25113,-0.07,Additivity,Bliss,29973719
Penicillin G,Cefsulodin,Escherichia coli BW25113,-0.06,Additivity,Bliss,29973719
Penicillin G,Piperacillin,Escherichia coli BW25113,-0.04,Additivity,Bliss,29973719
Penicillin G,Trimethoprim,Escherichia coli BW25113,-0.08,Additivity,Bliss,29973719
Penicillin G,Aztreonam,Escherichia coli iAi1,-0.25,Synergy,Bliss,29973719
Penicillin G,Amoxycillin,Escherichia coli iAi1,-0.22,Synergy,Bliss,29973719
Penicillin G,Cefotaxime,Escherichia coli iAi1,-0.16,Synergy,Bliss,29973719
Penicillin G,Cefsulodin,Escherichia coli iAi1,-0.32,Synergy,Bliss,29973719
Penicillin G,Piperacillin,Escherichia coli iAi1,-0.14,Synergy,Bliss,29973719
Penicillin G,Oxacillin,Escherichia coli iAi1,-0.71,Synergy,Bliss,29973719
Penicillin G,Fosfomycin,Escherichia coli iAi1,-0.18,Synergy,Bliss,29973719
Penicillin G,Trimethoprim,Escherichia coli iAi1,0.11,Antagonism,Bliss,29973719
Penicillin G,Levofloxacin,Escherichia coli MG1655,2.26,Antagonism,,28383902
Penicillin G,Nalidixic Acid,Escherichia coli MG1655,2.21,Antagonism,,28383902
Penicillin G,Nitrofurantoin,Escherichia coli MG1655,2.01,Antagonism,,28383902
Penicillin G,Ciprofloxacin,Escherichia coli MG1655,0.52,Additivity,,28383902
Penicillin G,Gentamicin,Escherichia coli MG1655,0.41,Additivity,,28383902
Penicillin G,Clarithromycin,Escherichia coli MG1655,0.39,Additivity,,28383902
Penicillin G,Amikacin,Escherichia coli MG1655,0.09,Additivity,,28383902
Penicillin G,Chloramphenicol,Escherichia coli MG1655,0.08,Additivity,,28383902
Penicillin G,Mupirocin,Escherichia coli MG1655,-0.03,Additivity,,28383902
Penicillin G,Kanamycin,Escherichia coli MG1655,-0.34,Synergy,,28383902
Penicillin G,Erythromycin,Escherichia coli MG1655,-0.34,Synergy,,28383902
Penicillin G,Fusidic Acid,Escherichia coli MG1655,-0.67,Synergy,,28383902
Penicillin G,Cefoxitin,Escherichia coli MG1655,-0.86,Synergy,,28383902
Penicillin G,Oxacillin,Escherichia coli MG1655,-1.03,Synergy,,28383902
Penicillin G,Oxacillin,Pseudomonas aeruginosa PA14,-0.04,Additivity,Bliss,29973719
Penicillin G,Chloramphenicol,Pseudomonas aeruginosa PA14,0.02,Additivity,Bliss,29973719
Penicillin G,Cefaclor,Pseudomonas aeruginosa PA14,-0.04,Additivity,Bliss,29973719
Penicillin G,Oxacillin,Pseudomonas aeruginosa PAO1,-0.1,Synergy,Bliss,29973719
Penicillin G,Cefaclor,Pseudomonas aeruginosa PAO1,-0.11,Synergy,Bliss,29973719
Penicillin G,Chloramphenicol,Pseudomonas aeruginosa PAO1,-0.12,Synergy,Bliss,29973719
Penicillin G,Kanamycin,Salmonella Typhimurium,0.36,Synergy,FICI,31183498
Penicillin G,Fosfomycin,Salmonella typhimurium 14028,-0.26,Synergy,Bliss,29973719
Penicillin G,Trimethoprim,Salmonella typhimurium 14028,0.1,Antagonism,Bliss,29973719
Penicillin G,Mecillinam,Salmonella typhimurium 14028,-0.25,Synergy,Bliss,29973719
Penicillin G,Doxycycline,Salmonella typhimurium 14028,0.07,Additivity,Bliss,29973719
Penicillin G,Ciprofloxacin,Salmonella typhimurium 14028,0.15,Antagonism,Bliss,29973719
Penicillin G,Cefaclor,Salmonella typhimurium 14028,-0.33,Synergy,Bliss,29973719
Penicillin G,Chloramphenicol,Salmonella typhimurium 14028,0.08,Additivity,Bliss,29973719
Penicillin G,Fosfomycin,Salmonella typhimurium LT2,-0.35,Synergy,Bliss,29973719
Penicillin G,Trimethoprim,Salmonella typhimurium LT2,-0.05,Additivity,Bliss,29973719
Penicillin G,Mecillinam,Salmonella typhimurium LT2,-0.16,Synergy,Bliss,29973719
Penicillin G,Doxycycline,Salmonella typhimurium LT2,0.14,Antagonism,Bliss,29973719
Penicillin G,Ciprofloxacin,Salmonella typhimurium LT2,0.07,Additivity,Bliss,29973719
Penicillin G,Cefaclor,Salmonella typhimurium LT2,-0.18,Synergy,Bliss,29973719
Penicillin G,Chloramphenicol,Salmonella typhimurium LT2,0.1,Antagonism,Bliss,29973719
Penicillin G,Gentamicin,Streptococcus,1.4,Indifferent,FICI,27818657
Piperacillin,Penicillin G,Escherichia coli BW25113,-0.04,Additivity,Bliss,29973719
Piperacillin,Meropenem,Escherichia coli BW25113,-0.07,Additivity,Bliss,29973719
Piperacillin,Cefoxitin,Escherichia coli BW25113,nan,Additivity,Loewe,24867991
Piperacillin,Fosfomycin,Escherichia coli BW25113,nan,Additivity,Loewe,24867991
Piperacillin,Lomefloxacin,Escherichia coli BW25113,nan,Additivity,Loewe,24867991
Piperacillin,Ciprofloxacin,Escherichia coli BW25113,nan,Antagonism,Loewe,24867991
Piperacillin,Nalidixic Acid,Escherichia coli BW25113,nan,Antagonism,Loewe,24867991
Piperacillin,Nitrofurantoin,Escherichia coli BW25113,nan,Antagonism,Loewe,24867991
Piperacillin,Amikacin,Escherichia coli BW25113,nan,Antagonism,Loewe,24867991
Piperacillin,Gentamicin,Escherichia coli BW25113,nan,Additivity,Loewe,24867991
Piperacillin,Kanamycin,Escherichia coli BW25113,nan,Additivity,Loewe,24867991
Piperacillin,Tobramycin,Escherichia coli BW25113,nan,Additivity,Loewe,24867991
Piperacillin,Streptomycin,Escherichia coli BW25113,nan,Additivity,Loewe,24867991
Piperacillin,Tetracycline,Escherichia coli BW25113,nan,Antagonism,Loewe,24867991
Piperacillin,Doxycycline,Escherichia coli BW25113,nan,Antagonism,Loewe,24867991
Piperacillin,Chloramphenicol,Escherichia coli BW25113,nan,Antagonism,Loewe,24867991
Piperacillin,Fusidic Acid,Escherichia coli BW25113,nan,Additivity,Loewe,24867991
Piperacillin,Sulfamonomethoxine,Escherichia coli BW25113,nan,Antagonism,Loewe,24867991
Piperacillin,Trimethoprim,Escherichia coli BW25113,nan,Antagonism,Loewe,24867991
Piperacillin,Penicillin G,Escherichia coli iAi1,-0.14,Synergy,Bliss,29973719
Piperacillin,Meropenem,Escherichia coli iAi1,-0.16,Synergy,Bliss,29973719
Piperacillin,Cefoxitin,Escherichia coli MG1655,nan,Synergy,Bliss,16550172
Piperacillin,Clindamycin,Escherichia coli MG1655,nan,Additivity,Bliss,16550172
Piperacillin,Spiramycin,Escherichia coli MG1655,nan,Synergy,Bliss,16550172
Piperacillin,Erythromycin,Escherichia coli MG1655,nan,Synergy,Bliss,16550172
Piperacillin,Fusidic Acid,Escherichia coli MG1655,nan,Synergy,Bliss,16550172
Piperacillin,Chloramphenicol,Escherichia coli MG1655,nan,Additivity,Bliss,16550172
Piperacillin,Doxycycline Hyclate,Escherichia coli MG1655,nan,Antagonism,Bliss,16550172
Piperacillin,Tetracycline,Escherichia coli MG1655,nan,Antagonism,Bliss,16550172
Piperacillin,Spectinomycin,Escherichia coli MG1655,nan,Antagonism,Bliss,16550172
Piperacillin,Ciprofloxacin,Escherichia coli MG1655,nan,Additivity,Bliss,16550172
Piperacillin,Lomefloxacin,Escherichia coli MG1655,nan,Additivity,Bliss,16550172
Piperacillin,Nalidixic Acid,Escherichia coli MG1655,nan,Additivity,Bliss,16550172
Piperacillin,Sulfamonomethoxine,Escherichia coli MG1655,nan,Antagonism,Bliss,16550172
Piperacillin,Trimethoprim,Escherichia coli MG1655,nan,Antagonism,Bliss,16550172
Piperacillin,Nitrofurantoin,Escherichia coli MG1655,nan,Additivity,Bliss,16550172
Piperacillin,Amikacin,Escherichia coli MG1655,nan,Synergy,Bliss,16550172
Piperacillin,Tobramycin,Escherichia coli MG1655,nan,Synergy,Bliss,16550172
Piperacillin,Streptomycin,Escherichia coli MG1655,nan,Synergy,Bliss,16550172
Piperacillin,Bleomycin,Escherichia coli MG1655,nan,Additivity,Bliss,16550172
Piperacillin,Nitrofurantoin,Pseudomonas aeruginosa PA14,0.07,Additivity,Bliss,29973719
Piperacillin,Clarithromycin,Pseudomonas aeruginosa PA14,0.06,Additivity,Bliss,29973719
Piperacillin,Cephalexin,Pseudomonas aeruginosa PA14,0.03,Additivity,Bliss,29973719
Piperacillin,Lmipenem,Pseudomonas aeruginosa PA14,-0.06,Additivity,Bliss,29973719
Piperacillin,Tobramycin,Pseudomonas aeruginosa PA14,-0.13,Synergy,Bliss,29973719
Piperacillin,Aztreonam,Pseudomonas aeruginosa PA14,-0.45,Synergy,Bliss,29973719
Piperacillin,Nitrofurantoin,Pseudomonas aeruginosa PAO1,-0.14,Synergy,Bliss,29973719
Piperacillin,Clarithromycin,Pseudomonas aeruginosa PAO1,-0.22,Synergy,Bliss,29973719
Piperacillin,Cephalexin,Pseudomonas aeruginosa PAO1,0.15,Antagonism,Bliss,29973719
Piperacillin,Lmipenem,Pseudomonas aeruginosa PAO1,0.57,Antagonism,Bliss,29973719
Piperacillin,Tobramycin,Pseudomonas aeruginosa PAO1,-0.48,Synergy,Bliss,29973719
Piperacillin,Aztreonam,Pseudomonas aeruginosa PAO1,-0.15,Additivity,Bliss,29973719
Piperacillin,Meropenem,Salmonella typhimurium 14028,-0.54,Synergy,Bliss,29973719
Piperacillin,Mecillinam,Salmonella typhimurium 14028,-0.45,Synergy,Bliss,29973719
Piperacillin,Moxifloxacin,Salmonella typhimurium 14028,0.12,Antagonism,Bliss,29973719
Piperacillin,Tobramycin,Salmonella typhimurium 14028,-0.29,Synergy,Bliss,29973719
Piperacillin,Aztreonam,Salmonella typhimurium 14028,0.13,Additivity,Bliss,29973719
Piperacillin,Pyocyanin,Salmonella typhimurium 14028,0.14,Antagonism,Bliss,29973719
Piperacillin,Meropenem,Salmonella typhimurium LT2,-0.3,Additivity,Bliss,29973719
Piperacillin,Mecillinam,Salmonella typhimurium LT2,-0.63,Synergy,Bliss,29973719
Piperacillin,Moxifloxacin,Salmonella typhimurium LT2,0.07,Additivity,Bliss,29973719
Piperacillin,Tobramycin,Salmonella typhimurium LT2,-0.58,Synergy,Bliss,29973719
Piperacillin,Aztreonam,Salmonella typhimurium LT2,-0.4,Synergy,Bliss,29973719
Piperacillin,Pyocyanin,Salmonella typhimurium LT2,0.12,Antagonism,Bliss,29973719
Piperacillin,Oxacillin,Escherichia coli BW25113,-0.07,Additivity,Bliss,29973719
Piperacillin,Fusidic Acid,Escherichia coli BW25113,-0.11,Additivity,Bliss,29973719
Piperacillin,Doxycycline,Escherichia coli BW25113,-0.07,Additivity,Bliss,29973719
Piperacillin,Cefotaxime,Escherichia coli BW25113,-0.09,Additivity,Bliss,29973719
Piperacillin,D-Cycloserine,Escherichia coli BW25113,-0.14,Additivity,Bliss,29973719
Piperacillin,Fosfomycin,Escherichia coli BW25113,-0.1,Additivity,Bliss,29973719
Piperacillin,Amikacin,Escherichia coli BW25113,-0.09,Additivity,Bliss,29973719
Piperacillin,Amoxycillin,Escherichia coli BW25113,-0.19,Synergy,Bliss,29973719
Piperacillin,Cefsulodin,Escherichia coli BW25113,-0.31,Synergy,Bliss,29973719
Piperacillin,Chloramphenicol,Escherichia coli BW25113,-0.05,Additivity,Bliss,29973719
Piperacillin,Ampicillin,Escherichia coli BW25113,nan,Additivity,Loewe,24867991
Piperacillin,Oxacillin,Escherichia coli iAi1,-0.19,Synergy,Bliss,29973719
Piperacillin,Fusidic Acid,Escherichia coli iAi1,-0.21,Synergy,Bliss,29973719
Piperacillin,Doxycycline,Escherichia coli iAi1,-0.27,Synergy,Bliss,29973719
Piperacillin,Cefotaxime,Escherichia coli iAi1,-0.27,Synergy,Bliss,29973719
Piperacillin,D-Cycloserine,Escherichia coli iAi1,-0.3,Synergy,Bliss,29973719
Piperacillin,Fosfomycin,Escherichia coli iAi1,-0.29,Synergy,Bliss,29973719
Piperacillin,Amikacin,Escherichia coli iAi1,-0.13,Synergy,Bliss,29973719
Piperacillin,Chloramphenicol,Escherichia coli iAi1,-0.26,Synergy,Bliss,29973719
Piperacillin,Amoxycillin,Escherichia coli iAi1,-0.29,Synergy,Bliss,29973719
Piperacillin,Cefsulodin,Escherichia coli iAi1,-0.45,Synergy,Bliss,29973719
Piperacillin,Ampicillin,Escherichia coli MG1655,nan,Synergy,Bliss,16550172
Piperacillin,Gentamicin,Pseudomonas aeruginosa,0.75,Additivity,FICI,33582141
Piperacillin,Ciprofloxacin,Pseudomonas aeruginosa,0.5,Synergy,FICI,33582141
Piperacillin,Levofloxacin,Pseudomonas aeruginosa,0.75,Additivity,FICI,33582141
Piperacillin,Ciprofloxacin,Pseudomonas aeruginosa,nan,Synergy,FICI,2508546
Piperacillin,Cefotaxime,Pseudomonas aeruginosa PA14,-0.09,Additivity,Bliss,29973719
Piperacillin,Ciprofloxacin,Pseudomonas aeruginosa PA14,0.12,Additivity,Bliss,29973719
Piperacillin,Erythromycin,Pseudomonas aeruginosa PA14,0.05,Additivity,Bliss,29973719
Piperacillin,Levofloxacin,Pseudomonas aeruginosa PA14,0,Additivity,Bliss,29973719
Piperacillin,Amoxycillin,Pseudomonas aeruginosa PA14,0.08,Additivity,Bliss,29973719
Piperacillin,Chloramphenicol,Pseudomonas aeruginosa PA14,0.1,Antagonism,Bliss,29973719
